user_id,login_time,logout_time,content_watched,genres_watched,total_watch_time,num_pauses,buffer_events,was_recommended
u002,2025-05-30T22:42:00,2025-05-30T23:48:00,"['s032', 's016', 's006', 's036']",['Comedy'],65,0,2,False
u002,2025-05-22T22:07:00,2025-05-22T22:28:00,"['s016', 's042', 's006']",['Romance'],16,3,0,False
u002,2025-05-20T08:43:00,2025-05-20T10:18:00,"['s048', 's038', 's002', 's030', 's009']","['Romance', 'Sci-Fi', 'Action']",88,2,1,False
u002,2025-06-10T19:50:00,2025-06-10T19:55:00,['s025'],"['Action', 'Thriller', 'Drama']",-5,3,3,True
u002,2025-05-25T06:40:00,2025-05-25T08:14:00,"['s037', 's014', 's044', 's006', 's040']","['Comedy', 'Drama']",85,2,0,False
u002,2025-06-12T16:54:00,2025-06-12T17:45:00,['s025'],"['Romance', 'Thriller']",51,0,0,True
u002,2025-05-29T16:14:00,2025-05-29T16:41:00,"['s046', 's005', 's036', 's014', 's009']","['Sci-Fi', 'Thriller']",17,1,0,True
u002,2025-06-03T18:38:00,2025-06-03T20:17:00,"['s049', 's048']",['Action'],90,2,0,True
u002,2025-05-25T04:01:00,2025-05-25T05:10:00,"['s018', 's004', 's005', 's024']","['Romance', 'Horror']",59,4,0,False
u002,2025-05-18T14:01:00,2025-05-18T15:06:00,"['s019', 's029', 's040', 's024', 's044']","['Horror', 'Drama', 'Sci-Fi']",57,0,0,False
u003,2025-05-16T23:21:00,2025-05-16T23:36:00,"['s019', 's005']",['Sci-Fi'],9,2,0,True
u003,2025-05-19T17:36:00,2025-05-19T18:44:00,"['s034', 's041']",['Action'],66,2,1,True
u003,2025-06-06T15:23:00,2025-06-06T15:44:00,"['s027', 's029', 's048']","['Drama', 'Action', 'Sci-Fi']",14,2,0,True
u003,2025-05-23T13:45:00,2025-05-23T15:36:00,"['s027', 's038', 's022']","['Comedy', 'Action', 'Romance']",103,2,0,False
u003,2025-06-06T03:04:00,2025-06-06T04:56:00,"['s030', 's020', 's037', 's009']","['Sci-Fi', 'Action']",104,3,0,True
u003,2025-05-29T22:12:00,2025-05-29T22:53:00,"['s023', 's019']","['Sci-Fi', 'Thriller']",41,3,1,False
u003,2025-06-06T08:42:00,2025-06-06T09:23:00,"['s046', 's045']","['Horror', 'Sci-Fi', 'Comedy']",39,4,1,True
u003,2025-05-14T20:56:00,2025-05-14T21:41:00,"['s029', 's017']","['Sci-Fi', 'Horror']",36,1,2,False
u003,2025-05-14T13:53:00,2025-05-14T15:23:00,"['s010', 's024', 's029']","['Sci-Fi', 'Thriller', 'Action']",85,2,0,True
u003,2025-05-14T03:13:00,2025-05-14T04:09:00,"['s030', 's021']",['Drama'],49,1,1,False
u003,2025-06-06T20:32:00,2025-06-06T21:41:00,"['s031', 's019', 's049']","['Comedy', 'Sci-Fi', 'Thriller']",64,1,0,False
u003,2025-06-02T02:53:00,2025-06-02T03:41:00,"['s003', 's009', 's044', 's036']",['Action'],47,3,1,True
u003,2025-06-10T02:29:00,2025-06-10T04:21:00,"['s023', 's006', 's021', 's004']","['Comedy', 'Sci-Fi', 'Thriller']",109,2,1,False
u003,2025-05-25T15:34:00,2025-05-25T16:04:00,['s035'],"['Comedy', 'Horror']",30,1,1,False
u003,2025-06-05T07:00:00,2025-06-05T07:55:00,"['s021', 's039', 's033', 's004']","['Action', 'Romance', 'Sci-Fi']",52,4,0,False
u003,2025-06-01T11:05:00,2025-06-01T11:57:00,"['s001', 's019', 's023']","['Action', 'Romance']",46,1,2,False
u003,2025-05-16T23:40:00,2025-05-17T00:12:00,"['s029', 's019', 's011', 's047']","['Comedy', 'Romance']",25,1,0,True
u003,2025-06-08T17:21:00,2025-06-08T18:42:00,"['s014', 's020']","['Horror', 'Thriller']",80,1,0,False
u003,2025-05-16T00:12:00,2025-05-16T01:32:00,['s001'],"['Comedy', 'Action']",74,0,2,True
u004,2025-06-03T00:45:00,2025-06-03T02:20:00,"['s013', 's012']","['Action', 'Thriller']",86,1,2,True
u004,2025-05-26T17:51:00,2025-05-26T19:42:00,"['s032', 's036', 's048']","['Sci-Fi', 'Drama']",102,0,2,False
u004,2025-05-20T00:14:00,2025-05-20T00:52:00,"['s008', 's042', 's043', 's019']","['Sci-Fi', 'Romance']",34,1,1,False
u004,2025-06-11T08:16:00,2025-06-11T08:52:00,['s049'],"['Romance', 'Drama']",36,3,4,False
u004,2025-05-29T11:08:00,2025-05-29T12:27:00,"['s028', 's017', 's041', 's044', 's031']","['Horror', 'Drama', 'Action']",72,3,2,False
u004,2025-06-08T04:20:00,2025-06-08T04:27:00,"['s038', 's004']",['Action'],3,1,0,True
u004,2025-05-19T03:59:00,2025-05-19T04:49:00,['s018'],"['Romance', 'Comedy']",48,2,0,False
u004,2025-05-29T04:49:00,2025-05-29T05:00:00,"['s034', 's041', 's005']","['Sci-Fi', 'Comedy', 'Horror']",7,1,0,False
u004,2025-06-09T06:00:00,2025-06-09T07:41:00,"['s021', 's044', 's020', 's018', 's045']","['Action', 'Drama', 'Thriller']",99,0,3,False
u004,2025-05-19T12:58:00,2025-05-19T13:04:00,"['s019', 's024', 's032', 's027', 's022']",['Drama'],4,0,1,True
u004,2025-06-04T21:49:00,2025-06-04T22:22:00,"['s040', 's045', 's034', 's035', 's046']","['Comedy', 'Drama', 'Romance']",30,1,2,True
u004,2025-05-16T11:26:00,2025-05-16T11:45:00,['s031'],"['Action', 'Comedy']",17,1,1,True
u004,2025-06-02T02:42:00,2025-06-02T04:40:00,"['s049', 's022', 's012', 's046', 's020']",['Comedy'],109,2,2,False
u004,2025-05-23T02:52:00,2025-05-23T03:13:00,"['s020', 's009']",['Sci-Fi'],19,1,4,False
u004,2025-06-01T08:00:00,2025-06-01T09:33:00,['s002'],"['Horror', 'Romance']",92,1,1,True
u004,2025-05-17T21:45:00,2025-05-17T21:54:00,"['s038', 's004', 's031', 's008', 's017']",['Drama'],-1,0,3,True
u004,2025-05-13T11:13:00,2025-05-13T12:54:00,['s039'],['Thriller'],100,0,0,False
u004,2025-05-21T09:49:00,2025-05-21T11:19:00,['s006'],['Horror'],85,1,1,False
u004,2025-05-25T14:58:00,2025-05-25T16:17:00,"['s011', 's033', 's047']","['Sci-Fi', 'Thriller', 'Comedy']",74,1,1,True
u004,2025-06-08T07:28:00,2025-06-08T09:10:00,"['s014', 's046', 's013', 's019', 's011']","['Drama', 'Comedy', 'Horror']",102,1,2,False
u004,2025-06-04T22:42:00,2025-06-05T00:35:00,"['s045', 's038', 's012']","['Comedy', 'Drama']",106,2,1,True
u004,2025-05-29T03:33:00,2025-05-29T04:26:00,"['s033', 's015']","['Drama', 'Action']",47,2,3,True
u005,2025-06-05T15:40:00,2025-06-05T16:02:00,"['s046', 's019', 's036']","['Drama', 'Horror', 'Action']",15,2,2,True
u005,2025-05-30T12:17:00,2025-05-30T12:58:00,"['s048', 's020', 's044', 's029', 's015']","['Romance', 'Action', 'Horror']",34,3,1,True
u005,2025-05-16T04:01:00,2025-05-16T06:00:00,"['s012', 's001', 's044']","['Comedy', 'Drama']",112,1,2,True
u005,2025-06-05T18:53:00,2025-06-05T20:22:00,['s008'],['Romance'],79,0,0,True
u005,2025-06-08T21:02:00,2025-06-08T21:20:00,['s024'],['Action'],16,2,1,True
u005,2025-05-31T09:35:00,2025-05-31T09:55:00,"['s047', 's032', 's018', 's049']","['Horror', 'Thriller', 'Comedy']",17,0,1,True
u005,2025-06-11T07:14:00,2025-06-11T08:10:00,"['s043', 's039', 's026', 's032']","['Action', 'Sci-Fi', 'Romance']",51,1,2,True
u005,2025-05-24T09:49:00,2025-05-24T10:56:00,"['s041', 's009']",['Drama'],60,1,2,False
u006,2025-06-04T16:05:00,2025-06-04T17:36:00,"['s025', 's039']","['Action', 'Sci-Fi', 'Horror']",91,1,2,False
u006,2025-05-17T09:13:00,2025-05-17T10:55:00,"['s032', 's030', 's013', 's019', 's043']","['Romance', 'Thriller']",101,1,1,True
u006,2025-05-28T15:19:00,2025-05-28T17:07:00,"['s002', 's049', 's003', 's028', 's008']","['Romance', 'Action']",100,1,2,False
u006,2025-06-02T03:23:00,2025-06-02T04:26:00,['s012'],"['Comedy', 'Action', 'Sci-Fi']",63,2,0,True
u006,2025-05-19T02:53:00,2025-05-19T03:37:00,"['s049', 's008', 's037', 's044']","['Comedy', 'Thriller']",38,1,0,False
u006,2025-06-08T01:00:00,2025-06-08T02:05:00,"['s011', 's033', 's004', 's026', 's017']","['Thriller', 'Romance']",58,4,0,False
u006,2025-05-29T01:18:00,2025-05-29T03:01:00,"['s004', 's002', 's038']",['Sci-Fi'],99,3,1,False
u007,2025-06-08T13:50:00,2025-06-08T13:58:00,"['s025', 's007', 's028']","['Action', 'Romance']",-2,0,0,True
u007,2025-06-12T02:15:00,2025-06-12T02:51:00,"['s042', 's020']","['Drama', 'Comedy', 'Horror']",33,4,0,False
u007,2025-05-18T05:01:00,2025-05-18T05:49:00,['s035'],"['Drama', 'Romance']",46,1,2,False
u007,2025-06-01T05:27:00,2025-06-01T06:44:00,"['s018', 's002', 's045', 's031']","['Drama', 'Action', 'Romance']",69,0,0,False
u007,2025-05-27T16:10:00,2025-05-27T17:28:00,"['s007', 's045', 's044', 's014']","['Romance', 'Thriller']",77,3,1,False
u007,2025-06-12T08:57:00,2025-06-12T09:45:00,"['s020', 's024', 's028', 's013', 's032']","['Horror', 'Drama', 'Thriller']",46,0,2,True
u007,2025-05-25T01:37:00,2025-05-25T01:48:00,"['s026', 's015', 's040', 's048', 's006']","['Horror', 'Thriller', 'Drama']",7,2,2,False
u007,2025-05-25T10:35:00,2025-05-25T10:48:00,"['s031', 's028', 's014', 's023', 's005']","['Horror', 'Action', 'Thriller']",4,0,0,False
u007,2025-06-01T16:51:00,2025-06-01T18:20:00,"['s013', 's027', 's026']","['Thriller', 'Horror']",81,0,0,True
u007,2025-06-06T22:05:00,2025-06-06T22:33:00,"['s012', 's037', 's032', 's014', 's043']","['Romance', 'Action', 'Thriller']",28,2,1,False
u007,2025-06-01T17:44:00,2025-06-01T19:01:00,['s034'],['Action'],67,1,1,True
u007,2025-05-23T22:33:00,2025-05-23T22:57:00,"['s028', 's027', 's021']",['Comedy'],14,1,1,True
u007,2025-05-31T18:29:00,2025-05-31T19:08:00,"['s017', 's044']","['Sci-Fi', 'Romance', 'Horror']",35,0,0,True
u007,2025-05-21T17:37:00,2025-05-21T17:45:00,"['s030', 's032', 's036']","['Romance', 'Comedy']",5,1,2,False
u007,2025-05-22T04:37:00,2025-05-22T05:02:00,"['s002', 's017']","['Comedy', 'Thriller']",21,1,0,True
u007,2025-05-14T22:07:00,2025-05-14T23:44:00,['s004'],['Action'],90,1,0,False
u008,2025-05-31T12:33:00,2025-05-31T14:32:00,['s026'],"['Horror', 'Sci-Fi', 'Comedy']",114,0,1,True
u008,2025-06-04T18:24:00,2025-06-04T18:44:00,"['s034', 's017', 's032', 's006', 's016']","['Drama', 'Action', 'Comedy']",12,2,0,False
u008,2025-05-30T17:55:00,2025-05-30T19:43:00,"['s014', 's010', 's007', 's012']",['Action'],105,0,4,True
u008,2025-05-24T13:46:00,2025-05-24T15:41:00,['s032'],"['Action', 'Comedy', 'Drama']",106,0,0,True
u008,2025-06-01T06:52:00,2025-06-01T07:57:00,"['s018', 's010']","['Romance', 'Comedy']",55,1,0,True
u008,2025-05-27T00:36:00,2025-05-27T00:43:00,"['s003', 's048', 's043', 's004', 's045']","['Sci-Fi', 'Action', 'Thriller']",-3,3,0,True
u008,2025-06-11T01:54:00,2025-06-11T03:28:00,['s035'],['Horror'],89,2,1,True
u009,2025-05-30T21:14:00,2025-05-30T21:51:00,['s049'],['Action'],33,1,1,True
u009,2025-05-20T07:00:00,2025-05-20T08:01:00,"['s042', 's027', 's003']","['Horror', 'Drama']",51,2,1,False
u009,2025-06-04T09:03:00,2025-06-04T10:08:00,"['s046', 's028', 's007']",['Comedy'],59,0,2,True
u009,2025-05-16T00:29:00,2025-05-16T01:19:00,"['s047', 's036', 's048', 's021', 's030']","['Drama', 'Horror', 'Sci-Fi']",44,1,1,False
u009,2025-06-11T04:15:00,2025-06-11T04:37:00,"['s013', 's041', 's020', 's021']","['Drama', 'Horror', 'Sci-Fi']",22,3,2,True
u010,2025-05-18T22:05:00,2025-05-18T23:58:00,"['s021', 's029', 's031', 's048']",['Action'],104,2,4,True
u010,2025-06-08T23:44:00,2025-06-09T01:34:00,"['s013', 's006', 's027']","['Sci-Fi', 'Romance']",105,3,0,False
u010,2025-06-07T23:01:00,2025-06-07T23:34:00,['s036'],"['Thriller', 'Comedy', 'Sci-Fi']",33,2,1,False
u010,2025-06-03T01:05:00,2025-06-03T01:35:00,"['s004', 's026']","['Romance', 'Thriller', 'Action']",26,1,1,True
u010,2025-05-29T17:52:00,2025-05-29T18:18:00,['s001'],"['Thriller', 'Romance', 'Comedy']",17,3,0,False
u010,2025-06-04T11:44:00,2025-06-04T12:04:00,"['s013', 's018']","['Comedy', 'Romance']",17,1,4,True
u010,2025-06-01T15:06:00,2025-06-01T17:00:00,"['s014', 's019', 's047', 's044', 's013']","['Sci-Fi', 'Romance']",111,1,2,False
u010,2025-05-14T07:25:00,2025-05-14T08:07:00,"['s040', 's029']",['Action'],38,2,0,False
u010,2025-06-11T10:57:00,2025-06-11T12:00:00,['s031'],['Horror'],62,2,3,True
u010,2025-05-31T02:14:00,2025-05-31T03:46:00,"['s046', 's028', 's048', 's039']","['Drama', 'Horror']",89,0,2,False
u010,2025-05-15T08:55:00,2025-05-15T09:42:00,"['s023', 's039', 's043', 's046']","['Horror', 'Drama', 'Comedy']",44,2,2,True
u010,2025-06-10T04:49:00,2025-06-10T05:42:00,"['s043', 's024', 's009', 's036']",['Thriller'],49,3,1,True
u010,2025-05-20T17:32:00,2025-05-20T18:41:00,"['s030', 's009', 's006']","['Comedy', 'Thriller']",62,2,1,True
u010,2025-05-24T20:25:00,2025-05-24T20:44:00,['s009'],"['Horror', 'Action']",14,1,1,False
u010,2025-06-01T13:46:00,2025-06-01T14:27:00,"['s049', 's017', 's034', 's021', 's028']",['Action'],37,2,1,False
u010,2025-06-04T08:36:00,2025-06-04T10:18:00,"['s043', 's041', 's029', 's004', 's013']",['Drama'],100,2,2,True
u010,2025-05-14T15:10:00,2025-05-14T16:15:00,"['s046', 's030']","['Drama', 'Romance']",61,2,1,True
u010,2025-05-29T05:24:00,2025-05-29T06:59:00,"['s030', 's032', 's008', 's047']",['Drama'],87,0,2,True
u010,2025-05-22T06:31:00,2025-05-22T08:27:00,"['s011', 's048']","['Horror', 'Action', 'Thriller']",112,0,0,False
u010,2025-06-08T15:42:00,2025-06-08T16:14:00,['s034'],"['Sci-Fi', 'Romance', 'Drama']",23,2,0,True
u010,2025-06-04T16:04:00,2025-06-04T17:35:00,"['s002', 's019', 's044']","['Drama', 'Romance', 'Action']",90,1,0,False
u010,2025-05-17T19:51:00,2025-05-17T21:43:00,"['s002', 's006']","['Horror', 'Comedy']",107,1,0,False
u010,2025-06-02T15:56:00,2025-06-02T17:21:00,"['s043', 's001', 's022', 's003', 's042']","['Romance', 'Action', 'Thriller']",81,3,0,True
u010,2025-05-15T05:10:00,2025-05-15T06:57:00,"['s021', 's004', 's048']",['Thriller'],97,2,1,False
u010,2025-05-30T08:34:00,2025-05-30T08:50:00,"['s012', 's016', 's026']",['Drama'],10,1,3,False
u011,2025-05-30T16:20:00,2025-05-30T18:04:00,"['s042', 's049', 's010']",['Action'],98,3,1,True
u011,2025-06-01T16:15:00,2025-06-01T17:54:00,"['s009', 's023', 's043', 's007', 's024']","['Sci-Fi', 'Romance', 'Comedy']",95,1,1,False
u011,2025-06-03T16:23:00,2025-06-03T17:02:00,"['s028', 's006', 's049', 's024', 's040']",['Romance'],30,0,2,False
u011,2025-05-17T05:31:00,2025-05-17T05:41:00,"['s030', 's044', 's015']","['Comedy', 'Horror', 'Sci-Fi']",2,3,0,False
u011,2025-06-05T23:55:00,2025-06-06T01:20:00,"['s006', 's019', 's030', 's028', 's031']","['Sci-Fi', 'Horror']",75,5,0,False
u011,2025-05-26T16:07:00,2025-05-26T17:59:00,"['s028', 's019', 's037', 's004', 's036']",['Drama'],109,1,2,False
u011,2025-06-05T05:46:00,2025-06-05T06:45:00,['s030'],"['Comedy', 'Thriller', 'Action']",53,1,0,True
u011,2025-06-08T15:35:00,2025-06-08T15:50:00,['s008'],"['Comedy', 'Romance', 'Sci-Fi']",7,2,1,False
u011,2025-05-30T21:12:00,2025-05-30T21:22:00,"['s046', 's020', 's021', 's038']","['Romance', 'Comedy', 'Horror']",9,1,2,False
u011,2025-05-25T01:31:00,2025-05-25T02:19:00,"['s012', 's006']","['Thriller', 'Action', 'Drama']",46,1,1,True
u012,2025-05-13T06:23:00,2025-05-13T07:18:00,['s011'],"['Romance', 'Horror', 'Comedy']",54,2,2,False
u012,2025-06-09T09:25:00,2025-06-09T11:02:00,"['s040', 's024', 's045']","['Comedy', 'Horror', 'Romance']",90,2,0,False
u012,2025-05-16T23:43:00,2025-05-17T00:04:00,['s013'],['Horror'],19,1,4,True
u012,2025-05-21T13:35:00,2025-05-21T15:29:00,"['s031', 's042']",['Comedy'],114,0,0,True
u012,2025-06-10T11:49:00,2025-06-10T13:43:00,"['s006', 's020']","['Sci-Fi', 'Romance']",106,1,2,True
u013,2025-05-20T13:25:00,2025-05-20T15:25:00,"['s032', 's031', 's002', 's029']","['Sci-Fi', 'Horror', 'Action']",118,4,2,False
u013,2025-05-30T19:52:00,2025-05-30T20:03:00,['s007'],"['Horror', 'Comedy', 'Romance']",6,0,0,False
u013,2025-06-04T13:26:00,2025-06-04T15:05:00,"['s047', 's036', 's019', 's003', 's032']","['Romance', 'Thriller']",90,1,0,False
u013,2025-06-09T19:54:00,2025-06-09T21:25:00,"['s046', 's004']","['Drama', 'Romance', 'Thriller']",84,1,3,True
u013,2025-05-15T21:22:00,2025-05-15T22:01:00,"['s031', 's008', 's032', 's040']","['Action', 'Romance', 'Comedy']",29,0,3,True
u013,2025-05-26T02:35:00,2025-05-26T04:12:00,"['s023', 's029', 's015', 's033']",['Thriller'],94,2,1,False
u013,2025-05-28T10:26:00,2025-05-28T11:48:00,"['s009', 's019', 's047', 's046']","['Romance', 'Comedy']",72,0,1,False
u013,2025-05-29T09:29:00,2025-05-29T11:15:00,"['s040', 's014']","['Comedy', 'Horror']",99,2,1,True
u014,2025-05-18T21:00:00,2025-05-18T21:27:00,"['s039', 's032']",['Horror'],24,1,4,True
u014,2025-06-04T11:16:00,2025-06-04T11:59:00,"['s036', 's004']",['Action'],40,4,1,False
u014,2025-05-29T05:59:00,2025-05-29T07:30:00,"['s033', 's003']",['Action'],89,2,0,True
u014,2025-06-10T02:32:00,2025-06-10T03:06:00,"['s015', 's032', 's017', 's022', 's023']",['Horror'],33,0,2,False
u014,2025-05-25T04:10:00,2025-05-25T06:09:00,"['s039', 's043', 's007', 's046', 's004']","['Horror', 'Romance']",117,2,0,False
u014,2025-05-18T01:09:00,2025-05-18T01:27:00,"['s007', 's036', 's003', 's033', 's011']","['Drama', 'Sci-Fi', 'Action']",9,1,1,True
u014,2025-05-26T07:04:00,2025-05-26T08:39:00,"['s032', 's047', 's007', 's010', 's042']","['Action', 'Sci-Fi']",88,1,0,True
u014,2025-05-22T04:31:00,2025-05-22T05:32:00,['s016'],"['Action', 'Horror']",55,1,0,False
u014,2025-05-16T21:05:00,2025-05-16T21:44:00,"['s024', 's041', 's043', 's016']",['Horror'],34,1,0,False
u014,2025-06-01T04:37:00,2025-06-01T06:22:00,"['s028', 's027']","['Romance', 'Thriller']",102,5,3,False
u014,2025-05-29T11:09:00,2025-05-29T11:17:00,"['s001', 's046']","['Drama', 'Horror', 'Action']",1,1,2,True
u014,2025-05-20T11:29:00,2025-05-20T12:29:00,"['s049', 's003', 's043', 's042']",['Thriller'],60,1,1,True
u014,2025-06-10T17:53:00,2025-06-10T19:29:00,"['s019', 's027', 's026', 's044', 's045']","['Horror', 'Action', 'Comedy']",86,0,1,False
u014,2025-05-13T08:37:00,2025-05-13T10:27:00,"['s040', 's010', 's045', 's026', 's029']","['Sci-Fi', 'Thriller', 'Comedy']",106,3,2,False
u014,2025-06-11T16:11:00,2025-06-11T17:12:00,"['s013', 's020', 's006', 's003']","['Action', 'Romance', 'Sci-Fi']",56,0,0,False
u014,2025-06-06T14:41:00,2025-06-06T15:22:00,['s033'],"['Action', 'Thriller', 'Horror']",38,3,0,False
u014,2025-05-20T06:47:00,2025-05-20T06:54:00,"['s038', 's017', 's016', 's020', 's047']","['Thriller', 'Drama']",7,2,1,False
u014,2025-05-29T23:23:00,2025-05-30T00:01:00,"['s023', 's008', 's004', 's049', 's042']",['Romance'],28,2,1,True
u014,2025-05-13T05:41:00,2025-05-13T06:44:00,"['s048', 's038']","['Comedy', 'Horror', 'Thriller']",58,2,2,False
u014,2025-05-23T15:24:00,2025-05-23T16:13:00,"['s043', 's046', 's037']","['Sci-Fi', 'Comedy', 'Romance']",45,0,2,False
u015,2025-05-17T18:56:00,2025-05-17T19:42:00,"['s013', 's024', 's030', 's007', 's010']","['Romance', 'Horror', 'Drama']",38,1,1,True
u015,2025-06-01T08:05:00,2025-06-01T10:03:00,"['s014', 's029', 's005', 's024']","['Thriller', 'Romance', 'Horror']",116,2,1,False
u015,2025-05-30T23:12:00,2025-05-31T01:08:00,"['s032', 's041', 's028', 's029', 's045']","['Comedy', 'Romance']",112,1,0,False
u015,2025-05-19T13:39:00,2025-05-19T14:48:00,"['s046', 's030', 's009', 's033']","['Drama', 'Comedy', 'Sci-Fi']",67,1,2,True
u015,2025-05-14T11:36:00,2025-05-14T13:16:00,"['s024', 's008', 's039', 's027', 's037']","['Drama', 'Thriller']",98,1,3,True
u015,2025-05-29T21:44:00,2025-05-29T22:28:00,"['s019', 's032', 's002']",['Sci-Fi'],39,2,0,False
u015,2025-06-01T04:40:00,2025-06-01T04:51:00,"['s014', 's012', 's048']","['Drama', 'Horror']",7,0,2,False
u015,2025-05-16T01:47:00,2025-05-16T03:43:00,"['s031', 's037', 's020', 's029']","['Horror', 'Romance']",116,3,0,True
u015,2025-06-09T13:35:00,2025-06-09T13:56:00,"['s041', 's030', 's049', 's029', 's043']","['Sci-Fi', 'Comedy']",19,2,2,True
u015,2025-06-10T10:24:00,2025-06-10T11:54:00,"['s025', 's015', 's026', 's022']","['Drama', 'Comedy', 'Romance']",81,2,0,False
u015,2025-06-11T09:30:00,2025-06-11T09:46:00,['s037'],"['Horror', 'Comedy', 'Action']",14,2,2,False
u015,2025-05-18T15:12:00,2025-05-18T16:39:00,['s013'],"['Thriller', 'Horror', 'Drama']",79,0,0,False
u016,2025-05-21T14:52:00,2025-05-21T16:33:00,"['s002', 's008', 's043', 's035', 's012']",['Action'],94,1,1,False
u016,2025-05-24T03:55:00,2025-05-24T05:46:00,"['s006', 's035', 's039', 's021']","['Thriller', 'Drama']",102,1,1,True
